Tanggal;Provinsi;Kondisi Penyerta;Total
2021-04-30;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;11855
2021-05-01;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;11893
2021-05-02;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;11947
2021-05-04;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12042
2021-05-06;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12180
2021-05-08;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12277
2021-05-10;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12361
2021-05-13;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12504
2021-05-14;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12533
2021-05-16;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12602
2021-05-19;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;12757
2021-05-25;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;13094
2021-05-26;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;13151
2021-05-29;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;13324
2021-05-31;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;13424
2021-06-02;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;13570
2021-06-10;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;14230
2021-06-12;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;14486
2021-06-13;DAERAH ISTIMEWA YOGYAKARTA;Hipertensi;14625
2021-03-24;DKI JAKARTA;Hipertensi;112128
2021-03-28;DKI JAKARTA;Hipertensi;113907
2021-04-07;DKI JAKARTA;Hipertensi;116501
2021-04-12;DKI JAKARTA;Hipertensi;117987
2021-04-15;DKI JAKARTA;Hipertensi;118833
2021-04-16;DKI JAKARTA;Hipertensi;119126
2021-04-17;DKI JAKARTA;Hipertensi;119438
2021-04-18;DKI JAKARTA;Hipertensi;119723
2021-04-19;DKI JAKARTA;Hipertensi;120014
2021-04-20;DKI JAKARTA;Hipertensi;120152
2021-04-21;DKI JAKARTA;Hipertensi;120333
2021-04-22;DKI JAKARTA;Hipertensi;120713
2021-04-23;DKI JAKARTA;Hipertensi;120978
2021-04-24;DKI JAKARTA;Hipertensi;121250
2021-04-25;DKI JAKARTA;Hipertensi;121519
2021-04-26;DKI JAKARTA;Hipertensi;121744
2021-04-27;DKI JAKARTA;Hipertensi;121862
2021-04-30;DKI JAKARTA;Hipertensi;122586
2021-05-01;DKI JAKARTA;Hipertensi;122864
2021-05-02;DKI JAKARTA;Hipertensi;123120
2021-05-04;DKI JAKARTA;Hipertensi;123472
2021-05-06;DKI JAKARTA;Hipertensi;123997
2021-05-08;DKI JAKARTA;Hipertensi;124451
2021-05-10;DKI JAKARTA;Hipertensi;124902
2021-05-13;DKI JAKARTA;Hipertensi;125456
2021-05-14;DKI JAKARTA;Hipertensi;125646
2021-05-16;DKI JAKARTA;Hipertensi;125762
2021-05-19;DKI JAKARTA;Hipertensi;126138
2021-05-25;DKI JAKARTA;Hipertensi;127564
2021-05-26;DKI JAKARTA;Hipertensi;127749
2021-05-29;DKI JAKARTA;Hipertensi;128481
2021-05-31;DKI JAKARTA;Hipertensi;129018
2021-06-02;DKI JAKARTA;Hipertensi;129354
2021-06-10;DKI JAKARTA;Hipertensi;132166
2021-06-12;DKI JAKARTA;Hipertensi;133591
2021-06-13;DKI JAKARTA;Hipertensi;134421
2021-03-24;GORONTALO;Hipertensi;1523
2021-03-28;GORONTALO;Hipertensi;1536
2021-04-07;GORONTALO;Hipertensi;1568
2021-04-12;GORONTALO;Hipertensi;1577
2021-04-15;GORONTALO;Hipertensi;1589
2021-04-16;GORONTALO;Hipertensi;1591
2021-04-17;GORONTALO;Hipertensi;1595
2021-04-18;GORONTALO;Hipertensi;1597
2021-04-19;GORONTALO;Hipertensi;1597
2021-04-20;GORONTALO;Hipertensi;1600
2021-04-21;GORONTALO;Hipertensi;1600
2021-04-22;GORONTALO;Hipertensi;1601
2021-04-23;GORONTALO;Hipertensi;1602
2021-04-24;GORONTALO;Hipertensi;1604
2021-04-25;GORONTALO;Hipertensi;1604
2021-04-26;GORONTALO;Hipertensi;1607
2021-04-27;GORONTALO;Hipertensi;1607
2021-04-30;GORONTALO;Hipertensi;1618
2021-05-01;GORONTALO;Hipertensi;1620
2021-05-02;GORONTALO;Hipertensi;1620
2021-05-04;GORONTALO;Hipertensi;1622
2021-05-06;GORONTALO;Hipertensi;1627
2021-05-08;GORONTALO;Hipertensi;1627
2021-05-10;GORONTALO;Hipertensi;1627
2021-05-13;GORONTALO;Hipertensi;1630
2021-05-14;GORONTALO;Hipertensi;1630
2021-05-16;GORONTALO;Hipertensi;1631
2021-05-19;GORONTALO;Hipertensi;1635
2021-05-25;GORONTALO;Hipertensi;1642
2021-05-26;GORONTALO;Hipertensi;1642
2021-05-29;GORONTALO;Hipertensi;1647
2021-05-31;GORONTALO;Hipertensi;1652
2021-06-02;GORONTALO;Hipertensi;1653
2021-06-10;GORONTALO;Hipertensi;1663
2021-06-12;GORONTALO;Hipertensi;1666
2021-06-13;GORONTALO;Hipertensi;1667
2021-03-24;JAMBI;Hipertensi;1791
2021-03-28;JAMBI;Hipertensi;1840
2021-04-07;JAMBI;Hipertensi;1954
2021-04-12;JAMBI;Hipertensi;1994
2021-04-15;JAMBI;Hipertensi;2036
2021-04-16;JAMBI;Hipertensi;2051
2021-04-17;JAMBI;Hipertensi;2072
2021-04-18;JAMBI;Hipertensi;2086
2021-04-19;JAMBI;Hipertensi;2094
2021-04-20;JAMBI;Hipertensi;2116
2021-04-21;JAMBI;Hipertensi;2133
2021-04-22;JAMBI;Hipertensi;2159
2021-04-23;JAMBI;Hipertensi;2172
2021-04-24;JAMBI;Hipertensi;2191
2021-04-25;JAMBI;Hipertensi;2200
2021-04-26;JAMBI;Hipertensi;2213
2021-04-27;JAMBI;Hipertensi;2222
2021-04-30;JAMBI;Hipertensi;2301
2021-05-01;JAMBI;Hipertensi;2319
2021-05-02;JAMBI;Hipertensi;2342
2021-05-04;JAMBI;Hipertensi;2382
2021-05-06;JAMBI;Hipertensi;2438
2021-05-08;JAMBI;Hipertensi;2490
2021-05-10;JAMBI;Hipertensi;2534
2021-05-13;JAMBI;Hipertensi;2576
2021-05-14;JAMBI;Hipertensi;2595
2021-05-16;JAMBI;Hipertensi;2601
2021-05-19;JAMBI;Hipertensi;2623
2021-05-25;JAMBI;Hipertensi;2744
2021-05-26;JAMBI;Hipertensi;2767
2021-05-29;JAMBI;Hipertensi;2831
2021-05-31;JAMBI;Hipertensi;2884
2021-06-02;JAMBI;Hipertensi;2929
2021-06-10;JAMBI;Hipertensi;3194
2021-06-12;JAMBI;Hipertensi;3265
2021-06-13;JAMBI;Hipertensi;3305
2021-03-24;JAWA BARAT;Hipertensi;73125
2021-03-28;JAWA BARAT;Hipertensi;74036
2021-04-07;JAWA BARAT;Hipertensi;76569
2021-04-12;JAWA BARAT;Hipertensi;78015
2021-04-15;JAWA BARAT;Hipertensi;79286
2021-04-16;JAWA BARAT;Hipertensi;79586
2021-04-17;JAWA BARAT;Hipertensi;79835
2021-04-18;JAWA BARAT;Hipertensi;80066
2021-04-19;JAWA BARAT;Hipertensi;80492
2021-04-20;JAWA BARAT;Hipertensi;80912
2021-04-21;JAWA BARAT;Hipertensi;81213
2021-04-22;JAWA BARAT;Hipertensi;81621
2021-04-23;JAWA BARAT;Hipertensi;81941
2021-04-24;JAWA BARAT;Hipertensi;82130
2021-04-25;JAWA BARAT;Hipertensi;82334
2021-04-26;JAWA BARAT;Hipertensi;82917
2021-04-27;JAWA BARAT;Hipertensi;83266
2021-04-30;JAWA BARAT;Hipertensi;84362
2021-05-01;JAWA BARAT;Hipertensi;84588
2021-05-02;JAWA BARAT;Hipertensi;84789
2021-05-04;JAWA BARAT;Hipertensi;85451
2021-05-06;JAWA BARAT;Hipertensi;86060
2021-05-08;JAWA BARAT;Hipertensi;87309
2021-05-10;JAWA BARAT;Hipertensi;87778
2021-05-13;JAWA BARAT;Hipertensi;88554
2021-05-14;JAWA BARAT;Hipertensi;88737
2021-05-16;JAWA BARAT;Hipertensi;89191
2021-05-19;JAWA BARAT;Hipertensi;90301
2021-05-25;JAWA BARAT;Hipertensi;92349
2021-05-26;JAWA BARAT;Hipertensi;92547
2021-05-29;JAWA BARAT;Hipertensi;93598
2021-05-31;JAWA BARAT;Hipertensi;94185
2021-06-02;JAWA BARAT;Hipertensi;94731
2021-06-10;JAWA BARAT;Hipertensi;97656
2021-06-12;JAWA BARAT;Hipertensi;98309
2021-06-13;JAWA BARAT;Hipertensi;98682
2021-03-24;JAWA TENGAH;Hipertensi;49880
2021-03-28;JAWA TENGAH;Hipertensi;50183
2021-04-07;JAWA TENGAH;Hipertensi;51561
2021-04-12;JAWA TENGAH;Hipertensi;52337
2021-04-15;JAWA TENGAH;Hipertensi;53062
2021-04-16;JAWA TENGAH;Hipertensi;53263
2021-04-17;JAWA TENGAH;Hipertensi;53418
2021-04-18;JAWA TENGAH;Hipertensi;53537
2021-04-19;JAWA TENGAH;Hipertensi;53741
2021-04-20;JAWA TENGAH;Hipertensi;53945
2021-04-21;JAWA TENGAH;Hipertensi;54147
2021-04-22;JAWA TENGAH;Hipertensi;54327
2021-04-23;JAWA TENGAH;Hipertensi;54439
2021-04-24;JAWA TENGAH;Hipertensi;54534
2021-04-25;JAWA TENGAH;Hipertensi;54608
2021-04-26;JAWA TENGAH;Hipertensi;54802
2021-04-27;JAWA TENGAH;Hipertensi;54908
2021-04-30;JAWA TENGAH;Hipertensi;55273
2021-05-01;JAWA TENGAH;Hipertensi;55332
2021-05-02;JAWA TENGAH;Hipertensi;55386
2021-05-04;JAWA TENGAH;Hipertensi;55658
2021-05-06;JAWA TENGAH;Hipertensi;55923
2021-05-08;JAWA TENGAH;Hipertensi;56122
2021-05-10;JAWA TENGAH;Hipertensi;56420
2021-05-13;JAWA TENGAH;Hipertensi;56758
2021-05-14;JAWA TENGAH;Hipertensi;56807
2021-05-16;JAWA TENGAH;Hipertensi;56985
2021-05-19;JAWA TENGAH;Hipertensi;57476
2021-05-25;JAWA TENGAH;Hipertensi;58571
2021-05-26;JAWA TENGAH;Hipertensi;58736
2021-05-29;JAWA TENGAH;Hipertensi;59459
2021-05-31;JAWA TENGAH;Hipertensi;60026
2021-06-02;JAWA TENGAH;Hipertensi;60503
2021-06-10;JAWA TENGAH;Hipertensi;63349
2021-06-12;JAWA TENGAH;Hipertensi;63932
2021-06-13;JAWA TENGAH;Hipertensi;64705
2021-03-24;JAWA TIMUR;Hipertensi;41243
2021-03-28;JAWA TIMUR;Hipertensi;41612
2021-04-07;JAWA TIMUR;Hipertensi;42424
2021-04-12;JAWA TIMUR;Hipertensi;42839
2021-04-15;JAWA TIMUR;Hipertensi;43083
2021-04-16;JAWA TIMUR;Hipertensi;43170
2021-04-17;JAWA TIMUR;Hipertensi;43256
2021-04-18;JAWA TIMUR;Hipertensi;43328
2021-04-19;JAWA TIMUR;Hipertensi;43403
2021-04-20;JAWA TIMUR;Hipertensi;43481
2021-04-21;JAWA TIMUR;Hipertensi;43572
2021-04-22;JAWA TIMUR;Hipertensi;43659
2021-04-23;JAWA TIMUR;Hipertensi;43749
2021-04-24;JAWA TIMUR;Hipertensi;43826
2021-04-25;JAWA TIMUR;Hipertensi;43897
2021-04-26;JAWA TIMUR;Hipertensi;43971
2021-04-27;JAWA TIMUR;Hipertensi;44042
2021-04-30;JAWA TIMUR;Hipertensi;44324
2021-05-01;JAWA TIMUR;Hipertensi;44393
2021-05-02;JAWA TIMUR;Hipertensi;44455
2021-05-04;JAWA TIMUR;Hipertensi;44606
2021-05-06;JAWA TIMUR;Hipertensi;44764
2021-05-08;JAWA TIMUR;Hipertensi;44901
2021-05-10;JAWA TIMUR;Hipertensi;45032
2021-05-13;JAWA TIMUR;Hipertensi;45228
2021-05-14;JAWA TIMUR;Hipertensi;45270
2021-05-16;JAWA TIMUR;Hipertensi;45374
2021-05-19;JAWA TIMUR;Hipertensi;45579
2021-05-25;JAWA TIMUR;Hipertensi;46002
2021-05-26;JAWA TIMUR;Hipertensi;46079
2021-05-29;JAWA TIMUR;Hipertensi;46295
2021-05-31;JAWA TIMUR;Hipertensi;46434
2021-06-02;JAWA TIMUR;Hipertensi;46574
2021-06-10;JAWA TIMUR;Hipertensi;47353
2021-06-12;JAWA TIMUR;Hipertensi;47592
2021-06-13;JAWA TIMUR;Hipertensi;47718
2021-03-24;KALIMANTAN BARAT;Hipertensi;1694
2021-03-28;KALIMANTAN BARAT;Hipertensi;1743
2021-04-07;KALIMANTAN BARAT;Hipertensi;1850
2021-04-12;KALIMANTAN BARAT;Hipertensi;1924
2021-04-15;KALIMANTAN BARAT;Hipertensi;2002
2021-04-16;KALIMANTAN BARAT;Hipertensi;2031
2021-04-17;KALIMANTAN BARAT;Hipertensi;2060
2021-04-18;KALIMANTAN BARAT;Hipertensi;2084
2021-04-19;KALIMANTAN BARAT;Hipertensi;2084
2021-04-20;KALIMANTAN BARAT;Hipertensi;2107
2021-04-21;KALIMANTAN BARAT;Hipertensi;2136
2021-04-22;KALIMANTAN BARAT;Hipertensi;2166
2021-04-23;KALIMANTAN BARAT;Hipertensi;2194
2021-04-24;KALIMANTAN BARAT;Hipertensi;2222
2021-04-25;KALIMANTAN BARAT;Hipertensi;2234
2021-04-26;KALIMANTAN BARAT;Hipertensi;2234
2021-04-27;KALIMANTAN BARAT;Hipertensi;2251
2021-04-30;KALIMANTAN BARAT;Hipertensi;2321
2021-05-01;KALIMANTAN BARAT;Hipertensi;2351
2021-05-02;KALIMANTAN BARAT;Hipertensi;2379
2021-05-04;KALIMANTAN BARAT;Hipertensi;2414
2021-05-06;KALIMANTAN BARAT;Hipertensi;2485
2021-05-08;KALIMANTAN BARAT;Hipertensi;2547
2021-05-10;KALIMANTAN BARAT;Hipertensi;2604
2021-05-13;KALIMANTAN BARAT;Hipertensi;2703
2021-05-14;KALIMANTAN BARAT;Hipertensi;2735
2021-05-16;KALIMANTAN BARAT;Hipertensi;2784
2021-05-19;KALIMANTAN BARAT;Hipertensi;2881
2021-05-25;KALIMANTAN BARAT;Hipertensi;3074
2021-05-26;KALIMANTAN BARAT;Hipertensi;3110
2021-05-29;KALIMANTAN BARAT;Hipertensi;3205
2021-05-31;KALIMANTAN BARAT;Hipertensi;3256
2021-06-02;KALIMANTAN BARAT;Hipertensi;3320
2021-06-10;KALIMANTAN BARAT;Hipertensi;3572
2021-06-12;KALIMANTAN BARAT;Hipertensi;3659
2021-06-13;KALIMANTAN BARAT;Hipertensi;3700
2021-03-24;KALIMANTAN SELATAN;Hipertensi;7846
2021-03-28;KALIMANTAN SELATAN;Hipertensi;8136
2021-04-07;KALIMANTAN SELATAN;Hipertensi;8795
2021-04-12;KALIMANTAN SELATAN;Hipertensi;9144
2021-04-15;KALIMANTAN SELATAN;Hipertensi;9329
2021-04-16;KALIMANTAN SELATAN;Hipertensi;9375
2021-04-17;KALIMANTAN SELATAN;Hipertensi;9422
2021-04-18;KALIMANTAN SELATAN;Hipertensi;9478
2021-04-19;KALIMANTAN SELATAN;Hipertensi;9487
2021-04-20;KALIMANTAN SELATAN;Hipertensi;9531
2021-04-21;KALIMANTAN SELATAN;Hipertensi;9560
2021-04-22;KALIMANTAN SELATAN;Hipertensi;9622
2021-04-23;KALIMANTAN SELATAN;Hipertensi;9681
2021-04-24;KALIMANTAN SELATAN;Hipertensi;9733
2021-04-25;KALIMANTAN SELATAN;Hipertensi;9749
2021-04-26;KALIMANTAN SELATAN;Hipertensi;9754
2021-04-27;KALIMANTAN SELATAN;Hipertensi;9784
2021-04-30;KALIMANTAN SELATAN;Hipertensi;9887
2021-05-01;KALIMANTAN SELATAN;Hipertensi;9914
2021-05-02;KALIMANTAN SELATAN;Hipertensi;9917
2021-05-04;KALIMANTAN SELATAN;Hipertensi;9944
2021-05-06;KALIMANTAN SELATAN;Hipertensi;9996
2021-05-08;KALIMANTAN SELATAN;Hipertensi;10072
2021-05-10;KALIMANTAN SELATAN;Hipertensi;10097
2021-05-13;KALIMANTAN SELATAN;Hipertensi;10145
2021-05-14;KALIMANTAN SELATAN;Hipertensi;10151
2021-05-16;KALIMANTAN SELATAN;Hipertensi;10162
2021-05-19;KALIMANTAN SELATAN;Hipertensi;10199
2021-05-25;KALIMANTAN SELATAN;Hipertensi;10306
2021-05-26;KALIMANTAN SELATAN;Hipertensi;10331
2021-05-29;KALIMANTAN SELATAN;Hipertensi;10401
2021-05-31;KALIMANTAN SELATAN;Hipertensi;10428
2021-06-02;KALIMANTAN SELATAN;Hipertensi;10444
2021-06-10;KALIMANTAN SELATAN;Hipertensi;10560
2021-06-12;KALIMANTAN SELATAN;Hipertensi;10577
2021-06-13;KALIMANTAN SELATAN;Hipertensi;10586
2021-03-24;KALIMANTAN TENGAH;Hipertensi;4928
2021-03-28;KALIMANTAN TENGAH;Hipertensi;5076
2021-04-07;KALIMANTAN TENGAH;Hipertensi;5354
2021-04-12;KALIMANTAN TENGAH;Hipertensi;5506
2021-04-15;KALIMANTAN TENGAH;Hipertensi;5588
2021-04-16;KALIMANTAN TENGAH;Hipertensi;5623
2021-04-17;KALIMANTAN TENGAH;Hipertensi;5658
2021-04-18;KALIMANTAN TENGAH;Hipertensi;5686
2021-04-19;KALIMANTAN TENGAH;Hipertensi;5709
2021-04-20;KALIMANTAN TENGAH;Hipertensi;5752
2021-04-21;KALIMANTAN TENGAH;Hipertensi;5781
2021-04-22;KALIMANTAN TENGAH;Hipertensi;5802
2021-04-23;KALIMANTAN TENGAH;Hipertensi;5828
2021-04-24;KALIMANTAN TENGAH;Hipertensi;5864
2021-04-25;KALIMANTAN TENGAH;Hipertensi;5888
2021-04-26;KALIMANTAN TENGAH;Hipertensi;5917
2021-04-27;KALIMANTAN TENGAH;Hipertensi;5934
2021-04-30;KALIMANTAN TENGAH;Hipertensi;6021
2021-05-01;KALIMANTAN TENGAH;Hipertensi;6054
2021-05-02;KALIMANTAN TENGAH;Hipertensi;6068
2021-05-04;KALIMANTAN TENGAH;Hipertensi;6121
2021-05-06;KALIMANTAN TENGAH;Hipertensi;6170
2021-05-08;KALIMANTAN TENGAH;Hipertensi;6233
2021-05-10;KALIMANTAN TENGAH;Hipertensi;6278
2021-05-13;KALIMANTAN TENGAH;Hipertensi;6337
2021-05-14;KALIMANTAN TENGAH;Hipertensi;6354
2021-05-16;KALIMANTAN TENGAH;Hipertensi;6376
2021-05-19;KALIMANTAN TENGAH;Hipertensi;6442
2021-05-25;KALIMANTAN TENGAH;Hipertensi;6597
2021-05-26;KALIMANTAN TENGAH;Hipertensi;6625
2021-05-29;KALIMANTAN TENGAH;Hipertensi;6714
2021-05-31;KALIMANTAN TENGAH;Hipertensi;6769
2021-06-02;KALIMANTAN TENGAH;Hipertensi;6812
2021-06-10;KALIMANTAN TENGAH;Hipertensi;7044
2021-06-12;KALIMANTAN TENGAH;Hipertensi;7100
2021-06-13;KALIMANTAN TENGAH;Hipertensi;7129
2021-03-24;KALIMANTAN TIMUR;Hipertensi;18648
2021-03-28;KALIMANTAN TIMUR;Hipertensi;18927
2021-04-07;KALIMANTAN TIMUR;Hipertensi;19457
2021-04-12;KALIMANTAN TIMUR;Hipertensi;19710
2021-04-15;KALIMANTAN TIMUR;Hipertensi;19872
2021-04-16;KALIMANTAN TIMUR;Hipertensi;19910
2021-04-17;KALIMANTAN TIMUR;Hipertensi;19973
2021-04-18;KALIMANTAN TIMUR;Hipertensi;20029
2021-04-19;KALIMANTAN TIMUR;Hipertensi;20063
2021-04-20;KALIMANTAN TIMUR;Hipertensi;20108
2021-04-21;KALIMANTAN TIMUR;Hipertensi;20164
2021-04-22;KALIMANTAN TIMUR;Hipertensi;20218
2021-04-23;KALIMANTAN TIMUR;Hipertensi;20275
2021-04-24;KALIMANTAN TIMUR;Hipertensi;20319
2021-04-25;KALIMANTAN TIMUR;Hipertensi;20369
2021-04-26;KALIMANTAN TIMUR;Hipertensi;20393
2021-04-27;KALIMANTAN TIMUR;Hipertensi;20441
2021-04-30;KALIMANTAN TIMUR;Hipertensi;20588
2021-05-01;KALIMANTAN TIMUR;Hipertensi;20630
2021-05-02;KALIMANTAN TIMUR;Hipertensi;20645
2021-05-04;KALIMANTAN TIMUR;Hipertensi;20711
2021-05-06;KALIMANTAN TIMUR;Hipertensi;20784
2021-05-08;KALIMANTAN TIMUR;Hipertensi;20848
2021-05-10;KALIMANTAN TIMUR;Hipertensi;20902
2021-05-13;KALIMANTAN TIMUR;Hipertensi;20987
2021-05-14;KALIMANTAN TIMUR;Hipertensi;20991
2021-05-16;KALIMANTAN TIMUR;Hipertensi;21024
2021-05-19;KALIMANTAN TIMUR;Hipertensi;21121
2021-05-25;KALIMANTAN TIMUR;Hipertensi;21303
2021-05-26;KALIMANTAN TIMUR;Hipertensi;21328
2021-05-29;KALIMANTAN TIMUR;Hipertensi;21411
2021-05-31;KALIMANTAN TIMUR;Hipertensi;21480
2021-06-02;KALIMANTAN TIMUR;Hipertensi;21526
2021-06-10;KALIMANTAN TIMUR;Hipertensi;21731
2021-06-12;KALIMANTAN TIMUR;Hipertensi;21778
2021-06-13;KALIMANTAN TIMUR;Hipertensi;21810
2021-03-24;KALIMANTAN UTARA;Hipertensi;3266
2021-03-28;KALIMANTAN UTARA;Hipertensi;3317
2021-04-07;KALIMANTAN UTARA;Hipertensi;3391
2021-04-12;KALIMANTAN UTARA;Hipertensi;3419
2021-04-15;KALIMANTAN UTARA;Hipertensi;3437
2021-04-16;KALIMANTAN UTARA;Hipertensi;3439
2021-04-17;KALIMANTAN UTARA;Hipertensi;3444
2021-04-18;KALIMANTAN UTARA;Hipertensi;3460
2021-04-19;KALIMANTAN UTARA;Hipertensi;3465
2021-04-20;KALIMANTAN UTARA;Hipertensi;3473
2021-04-21;KALIMANTAN UTARA;Hipertensi;3476
2021-04-22;KALIMANTAN UTARA;Hipertensi;3483
2021-04-23;KALIMANTAN UTARA;Hipertensi;3488
2021-04-24;KALIMANTAN UTARA;Hipertensi;3492
2021-04-25;KALIMANTAN UTARA;Hipertensi;3497
2021-04-26;KALIMANTAN UTARA;Hipertensi;3503
2021-04-27;KALIMANTAN UTARA;Hipertensi;3511
2021-04-30;KALIMANTAN UTARA;Hipertensi;3524
2021-05-01;KALIMANTAN UTARA;Hipertensi;3526
2021-05-02;KALIMANTAN UTARA;Hipertensi;3536
2021-05-04;KALIMANTAN UTARA;Hipertensi;3546
2021-05-06;KALIMANTAN UTARA;Hipertensi;3550
2021-05-08;KALIMANTAN UTARA;Hipertensi;3555
2021-05-10;KALIMANTAN UTARA;Hipertensi;3561
2021-05-13;KALIMANTAN UTARA;Hipertensi;3565
2021-05-14;KALIMANTAN UTARA;Hipertensi;3567
2021-05-16;KALIMANTAN UTARA;Hipertensi;3569
2021-05-19;KALIMANTAN UTARA;Hipertensi;3583
2021-05-25;KALIMANTAN UTARA;Hipertensi;3651
2021-05-26;KALIMANTAN UTARA;Hipertensi;3655
2021-05-29;KALIMANTAN UTARA;Hipertensi;3670
2021-05-31;KALIMANTAN UTARA;Hipertensi;3681
2021-06-02;KALIMANTAN UTARA;Hipertensi;3692
2021-06-10;KALIMANTAN UTARA;Hipertensi;3725
2021-06-12;KALIMANTAN UTARA;Hipertensi;3731
2021-06-13;KALIMANTAN UTARA;Hipertensi;3740
2021-03-24;KEPULAUAN BANGKA BELITUNG;Hipertensi;2647
2021-03-28;KEPULAUAN BANGKA BELITUNG;Hipertensi;2743
2021-04-07;KEPULAUAN BANGKA BELITUNG;Hipertensi;2967
2021-04-12;KEPULAUAN BANGKA BELITUNG;Hipertensi;3112
2021-04-15;KEPULAUAN BANGKA BELITUNG;Hipertensi;3247
2021-04-16;KEPULAUAN BANGKA BELITUNG;Hipertensi;3290
2021-04-17;KEPULAUAN BANGKA BELITUNG;Hipertensi;3319
2021-04-18;KEPULAUAN BANGKA BELITUNG;Hipertensi;3353
2021-04-19;KEPULAUAN BANGKA BELITUNG;Hipertensi;3376
2021-04-20;KEPULAUAN BANGKA BELITUNG;Hipertensi;3421
2021-04-21;KEPULAUAN BANGKA BELITUNG;Hipertensi;3470
2021-04-22;KEPULAUAN BANGKA BELITUNG;Hipertensi;3510
2021-04-23;KEPULAUAN BANGKA BELITUNG;Hipertensi;3611
2021-04-24;KEPULAUAN BANGKA BELITUNG;Hipertensi;3662
2021-04-25;KEPULAUAN BANGKA BELITUNG;Hipertensi;3740
2021-04-26;KEPULAUAN BANGKA BELITUNG;Hipertensi;3799
2021-04-27;KEPULAUAN BANGKA BELITUNG;Hipertensi;3847
2021-04-30;KEPULAUAN BANGKA BELITUNG;Hipertensi;4034
2021-05-01;KEPULAUAN BANGKA BELITUNG;Hipertensi;4094
2021-05-02;KEPULAUAN BANGKA BELITUNG;Hipertensi;4122
2021-05-04;KEPULAUAN BANGKA BELITUNG;Hipertensi;4196
2021-05-06;KEPULAUAN BANGKA BELITUNG;Hipertensi;4284
2021-05-08;KEPULAUAN BANGKA BELITUNG;Hipertensi;4424
2021-05-10;KEPULAUAN BANGKA BELITUNG;Hipertensi;4512
2021-05-13;KEPULAUAN BANGKA BELITUNG;Hipertensi;4640
2021-05-14;KEPULAUAN BANGKA BELITUNG;Hipertensi;4660
2021-05-16;KEPULAUAN BANGKA BELITUNG;Hipertensi;4695
2021-05-19;KEPULAUAN BANGKA BELITUNG;Hipertensi;4816
2021-05-25;KEPULAUAN BANGKA BELITUNG;Hipertensi;5148
2021-05-26;KEPULAUAN BANGKA BELITUNG;Hipertensi;5229
2021-05-29;KEPULAUAN BANGKA BELITUNG;Hipertensi;5377
2021-05-31;KEPULAUAN BANGKA BELITUNG;Hipertensi;5489
2021-06-02;KEPULAUAN BANGKA BELITUNG;Hipertensi;5546
2021-06-10;KEPULAUAN BANGKA BELITUNG;Hipertensi;5851
2021-06-12;KEPULAUAN BANGKA BELITUNG;Hipertensi;5897
2021-06-13;KEPULAUAN BANGKA BELITUNG;Hipertensi;5910
2021-03-24;KEPULAUAN RIAU;Hipertensi;2712
2021-03-28;KEPULAUAN RIAU;Hipertensi;2743
2021-04-07;KEPULAUAN RIAU;Hipertensi;2825
2021-04-12;KEPULAUAN RIAU;Hipertensi;2876
2021-04-15;KEPULAUAN RIAU;Hipertensi;2954
2021-04-16;KEPULAUAN RIAU;Hipertensi;2974
2021-04-17;KEPULAUAN RIAU;Hipertensi;2995
2021-04-18;KEPULAUAN RIAU;Hipertensi;3021
2021-04-19;KEPULAUAN RIAU;Hipertensi;3029
2021-04-20;KEPULAUAN RIAU;Hipertensi;3055
2021-04-21;KEPULAUAN RIAU;Hipertensi;3073
2021-04-22;KEPULAUAN RIAU;Hipertensi;3098
2021-04-23;KEPULAUAN RIAU;Hipertensi;3113
2021-04-24;KEPULAUAN RIAU;Hipertensi;3143
2021-04-25;KEPULAUAN RIAU;Hipertensi;3188
2021-04-26;KEPULAUAN RIAU;Hipertensi;3229
2021-04-27;KEPULAUAN RIAU;Hipertensi;3251
2021-04-30;KEPULAUAN RIAU;Hipertensi;3353
2021-05-01;KEPULAUAN RIAU;Hipertensi;3407
2021-05-02;KEPULAUAN RIAU;Hipertensi;3450
2021-05-04;KEPULAUAN RIAU;Hipertensi;3536
2021-05-06;KEPULAUAN RIAU;Hipertensi;3640
2021-05-08;KEPULAUAN RIAU;Hipertensi;3702
2021-05-10;KEPULAUAN RIAU;Hipertensi;3762
2021-05-13;KEPULAUAN RIAU;Hipertensi;3873
2021-05-14;KEPULAUAN RIAU;Hipertensi;3903
2021-05-16;KEPULAUAN RIAU;Hipertensi;4026
